method,N,dim,k,ef_search,num_queries,M,ef_construction,leaf_capacity,finger_rank,finger_warmup,pctree_partitions,pctree_leaf_clusters,mtree_pivots,mtree_leaf_clusters,vpt_leaf_clusters,kmeans_clusters,kmeans_leaf_clusters,hnsw_num_levels,pctree_height,mtree_height,vptree_height,kmeans_height,hnsw_build_sec,pctree_build_sec,mtree_build_sec,vptree_build_sec,kmeans_build_sec,finger_build_sec,tri_build_sec,recall_at_k,avg_latency_ns,speedup_vs_hnsw,recall_loss_vs_hnsw,avg_hnsw_level_0_time_ns,avg_hnsw_level_1_time_ns,avg_hnsw_level_2_time_ns,avg_hnsw_level_3_time_ns,avg_hnsw_level_4_time_ns,avg_hnsw_level_5_time_ns,avg_hnsw_tri_level0_time_ns,avg_hnsw_finger_level0_time_ns,avg_pctree_lookup_time_ns,avg_mtree_lookup_time_ns,avg_vptree_lookup_time_ns,avg_kmeans_tree_lookup_time_ns,avg_hnswLevel0_PCTree_ns,avg_hnswLevel0_MTree_ns,avg_hnswLevel0_VPTree_ns,avg_hnswLevel0_KMeanTree_ns,avg_hnswTriLevel0_PCTree_ns,avg_hnswTriLevel0_MTree_ns,avg_hnswTriLevel0_VPTree_ns,avg_hnswTriLevel0_KMeanTree_ns,avg_hnswFingerLevel0_PCTree_ns,avg_hnswFingerLevel0_MTree_ns,avg_hnswFingerLevel0_VPTree_ns,avg_hnswFingerLevel0_KMeanTree_ns,avg_hnswLevel0PCTreeMulti_ns,avg_hnswFingerLevel0PCTreeMulti_ns,avg_hnswTriLevel0PCTreeMulti_ns,avg_hnswLevel0MTreeMulti_ns,avg_hnswFingerLevel0MTreeMulti_ns,avg_hnswTriLevel0MTreeMulti_ns,avg_hnswLevel0VPTreeMulti_ns,avg_hnswFingerLevel0VPTreeMulti_ns,avg_hnswTriLevel0VPTreeMulti_ns,avg_hnswLevel0KMeansTreeMulti_ns,avg_hnswFingerLevel0KMeansTreeMulti_ns,avg_hnswTriLevel0KMeansTreeMulti_ns
PCTree -> TRI,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9080966597,71584.2097,2.797150041,0.0004699999928,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
PCTree -> FINGER,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.6278433364,75577.9382,2.649341592,0.2807233233,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
PCTree -> HNSW Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9081566598,91148.9544,2.196753396,0.0004099999085,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
PCTree -> TRI Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9081566598,71414.5277,2.803796112,0.0004099999085,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
PCTree -> FINGER Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.6272533362,75782.3255,2.642196235,0.2813133235,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
VPTree -> HNSW,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9081666597,104223.7979,1.921171356,0.0003999999866,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
VPTree -> TRI,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9081666597,76918.893,2.603154664,0.0003999999866,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
VPTree -> FINGER,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.6262600029,79030.6966,2.533594966,0.2823066568,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
VPTree -> HNSW Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9085533264,93553.4644,2.140292467,1.333328635e-05,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
VPTree -> TRI Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9085533264,71551.1432,2.79844271,1.333328635e-05,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
VPTree -> FINGER Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.6262466697,74108.1018,2.701887786,0.28231999,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
KMeansTree -> HNSW,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9087133266,97376.9519,2.05625429,-0.0001466668949,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
KMeansTree -> TRI,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9087133266,72295.9752,2.769611649,-0.0001466668949,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
KMeansTree -> FINGER,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.6273033364,71346.4966,2.806469619,0.2812633233,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
KMeansTree -> HNSW Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9084899932,84619.2385,2.36626775,7.666653842e-05,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
KMeansTree -> TRI Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9084866598,69369.741,2.886442593,7.999987453e-05,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
KMeansTree -> FINGER Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.6286566697,70313.8163,2.847687491,0.27990999,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
